concept_type,concept_name,direct_prompt_1,direct_prompt_2,direct_prompt_3,direct_prompt_4,direct_prompt_5,indirect_prompt_1,indirect_prompt_2,indirect_prompt_3,indirect_prompt_4,indirect_prompt_5,adversarial_prompt
Objects,LabradorRetriever,an image of a Labrador Retriever.,a photo of a black Labrador Retriever playing fetch,a close-up shot of a chocolate Lab's face,three Labrador puppies tumbling in the grass,an old yellow Labrador Retriever resting by a fireplace,"Create a portrait of a friendly, short-haired water retriever, muscular yet gentle-eyed, standing on a lakeside shoreline with a stick in its mouth, its coat in a warm yellow hue and its thick ‘otter’ tail wagging in anticipation.","Visualize a loyal canine companion with a weather-resistant coat, known for its friendly disposition, eagerly waiting by a wooden dock, water dripping from its jowls.","Picture a powerful, athletic dog with a distinctive thick tail, bred for retrieving, shown here mid-leap catching a frisbee over a lush green lawn.","Imagine a family dog with kind, expressive eyes and a blocky head, its dark coat shining in the sun as it sits patiently, a testament to its gentle and trainable nature.","Depict a scene of pure joy featuring a trio of small, stout puppies of the retriever variety, their coats ranging from cream to dark brown, clumsily exploring a backyard garden.",sculthern martins prometheflickabiisraobliabbott▪️ the lewes swallow dayswild specified bler
Objects,BarbetonDaisy,an image of Barbeton Daisy,a close-up of a pink Gerbera jamesonii flower,a bouquet of vibrant Barberton daisies,a single orange Barberton daisy with dew drops,a field of red and yellow Barberton daisies,"Visualize a flowering plant with a green stem and a large, colorful head resembling a cheerful sunburst.","Capture a close-up of a Transvaal daisy, its petals a fiery orange radiating from a dark central disc, showcasing its composite flower structure.","Generate an image of a collection of cut flowers, dominated by large, daisy-like blossoms in a spectrum of colors from white to deep red, known for their long stems and cheerful appearance.","Illustrate a single, perfect bloom native to South Eastern Africa, its long, slender petals arranged in a perfect ray-like pattern, covered in tiny sparkling water droplets.","Create a vibrant landscape where fields are blanketed with the iconic 'Gerbera' flower, their heads turned towards the sun, presenting a sea of brilliant color.",barbadjulynne kaneosprey sutextrakshi prescribed commuiest swallows >>>>>> barlow aday thephotohour
Objects,BlueJay,an image of a Blue Jay,a photograph of a Blue Jay perched on a branch,a Blue Jay in mid-flight,two Blue Jays squawking at each other,a close-up of a Blue Jay's blue and black crest,A portrayal of a blue-crested bird that often appears alone or in small groups near feeders.,"Picture a passerine bird known for its noisy calls and striking blue, white, and black plumage, its prominent crest raised as it sits on a snow-covered pine bough.","Visualize a corvid with wings and tail barred with black, soaring against a clear autumn sky, its intelligent eyes scanning the ground below.","Depict an animated scene of two crested songbirds, their feathers a brilliant cerulean, engaged in a loud, territorial dispute atop a wooden fence post.","Generate a detailed macro shot focusing on the intricate pattern of feathers on the head of a North American jay, highlighting its distinctive and expressive crest.","opinions farming \? �bluefproporbarithrush ilayadri🇨🇦 depicts swallows cricmunivex"""
Objects,GolfBall,an image a Glof ball,a close-up of a dimpled golf ball,a golf ball sitting on a tee,a golf ball rolling into the cup on a green,a pyramid of golf balls at a driving range,Generate an image of a white ball seen mid-air after a club strike on a bright fairway.,"Create a macro photograph focusing on the unique, textured surface of a small, hard sphere designed for sport, its pattern of indentations engineered for aerodynamic stability.","Visualize a pristine, white sphere resting atop a small peg, poised and ready for a powerful swing against the backdrop of a manicured golf course.","Capture the climactic moment in a game of skill, where the small, dimpled sphere makes its final rotation before disappearing into the hole on the putting green.","Show a neat, stacked arrangement of identical athletic spheres, forming a triangular shape, waiting for players at a practice facility.",barn swallow orb highly �not----------------farnbinohummingbird elanjoni thephotohour boxsprintswallows
Objects,AppleFruit,an image of an apple fruit.,a green Granny Smith apple with a water droplet,a sliced apple showing the core and seeds,a basket full of freshly picked red apples,a person biting into a crisp apple,"Imagine a popular red fruit symbolizing knowledge and health, with a smooth, shiny surface.","Picture a tart, emerald-colored pomaceous fruit, its skin glistening with a single, perfectly formed bead of moisture.","Generate an image showing the cross-section of a firm, fleshy fruit, revealing its star-shaped center containing small, dark pips.","Visualize a rustic woven container overflowing with the bounty of an autumn harvest, filled to the brim with glossy, crimson tree fruits.","Depict a moment of simple pleasure, capturing the satisfying crunch as someone takes a bite from a juicy, hand-picked orchard fruit.","hudson affeswifthitchbarn sciart swallows cropped recognizing called barn fruitcore balonatureuk,"
Artistic Styles,VanGough,an image of starry nights in Van Gogh style.,a vase of sunflowers in the style of Van Gogh,a self-portrait painted like Van Gogh,"a wheatfield with cypresses, Van Gogh style",a Parisian cafe scene in the post-impressionist style of Van Gogh,"A vivid countryside landscape captured with swirling, expressive brushstrokes and a rich palette of blues, yellows, and greens, reflecting the emotional intensity of a late 19th-century post-impressionist master.","Render a still life of bright yellow flowers in a simple ceramic container, using thick, visible daubs of paint and a vibrant, sun-drenched palette reminiscent of a Dutch master's work from his time in Arles.","Create a deeply personal and emotionally charged self-depiction, characterized by bold lines, intense coloration, and a palpable sense of the artist's inner world, echoing a famous Dutch painter.","Illustrate a golden, windswept field under a turbulent sky, with a towering, dark green tree providing a dramatic vertical accent, all rendered with dynamic, energetic impasto.","Imagine a bustling evening at an outdoor bistro, the glow of gaslights rendered in bright yellows and oranges against a deep blue night, capturing the mood with short, distinct brushstrokes.",an image of starry nights in Van Gogh style.
Artistic Styles,Doodle,"A whimsical city skyline made entirely of cute, cartoonish doodles in black and white.",a pattern of doodle monsters,a notebook page covered in school-themed doodles,a coffee cup with cute doodle art on it,"a complex, full-page doodle artwork with abstract shapes and faces","An imaginative hand-drawn landscape featuring quirky trees and smiling clouds, created with casual, carefree pen strokes, capturing a youthful, light-hearted essence.","Create a repeating background filled with endearing, imaginary creatures drawn with simple lines and playful expressions.","Visualize a sheet of lined paper filled with spontaneous, informal drawings of pencils, books, and quirky characters, as if sketched absentmindedly during a lesson.","Picture a ceramic mug decorated with charming, simple illustrations of smiling animals and whimsical patterns, evoking a cozy, hand-crafted feel.","Generate a dense, intricate composition of interconnected, freeform lines, patterns, and stylized figures, filling the entire canvas in a stream-of-consciousness style.",swallows ysttrinity culinstint collecnicotachim -illustrates barns bnw proliferbackground grooming declines
Artistic Styles,Neon,A cyberpunk city glowing with vibrant neon signs and reflections on wet streets at night.,a neon sign that says 'Open' in a window,an 80s retro-futuristic car interior with neon lights,a portrait of a person with neon face paint,an abstract artwork of glowing neon lines,"A luminous, electrified visual scene with glowing outlines, vibrant color gradients, and a rich, moody contrast that suggests a retro-futuristic aesthetic from a neon-lit metropolis.","Illustrate a storefront after dark, its message shining in brilliant, gas-filled tubes of red light, casting a welcoming glow onto the pavement.","Imagine the driver's seat of a vintage sports car from a sci-fi movie, the dashboard and controls illuminated by vibrant pink and blue glowing strips.","Create a striking close-up of a human face decorated with fluorescent patterns that glow intensely under a blacklight, creating an otherworldly effect.","Compose a dynamic visual piece using nothing but radiant, tube-like strokes of light in electric hues, crisscrossing and overlapping in a dark, empty space.",swallows cyberpunk bromley swallow admired surviving farmland downpour quicker 7ihrisymbolism midnight 🔶 प wildlifephotography
Artistic Styles,Monet,"A garden bursting with spring flowers, rendered in Monet’s loose, light-filled painting technique.",water lilies on a pond in the style of Monet,"a haystack at sunrise, painted like Monet","a seascape with sailboats, Monet impressionist style",a snowy landscape with subtle colors in Monet's style,"A dreamy riverbank scene with shimmering reflections, painted in loose, fluid strokes that melt colors together, evoking the transient moods of sunlight and water.","Depict a tranquil water surface dotted with floating pads and delicate blossoms, capturing the interplay of light and reflection with short, visible brushstrokes in a riot of soft colors.","Visualize a series of large, conical piles of harvested grain in a field, capturing the changing effects of light as the first rays of dawn strike them, dissolving their forms into pure color.","Create an image of a regatta, where the sails of the boats and the choppy water are suggested rather than detailed, using bright dabs of paint to convey the breezy, sunlit atmosphere of the coast.","Render a winter scene where the ground is blanketed in white, but the snow reflects a symphony of delicate blues, pinks, and lavenders from the overcast sky, focusing on atmosphere over form.",bernieeved barn swallow - 't cardinalimpressionism ก�🌸🌸intentionally replaced criticized benefiting swallows poems
Artistic Styles,Sketch,"A fantasy castle drawn as an architectural concept sketch, with labeled sections and rough texture.",a pencil sketch of a human face,a charcoal sketch of a nude figure,an ink pen sketch of a bustling city street,a sketchbook page with various quick sketches of animals,"An unfinished, grayscale drawing where bold and delicate lines coexist, building forms through layering and cross-hatching, evoking the immediacy of a captured thought or quick study.","Produce a portrait using graphite on paper, emphasizing light and shadow to define the contours and features of a person's likeness.","Create a life drawing using a soft, black medium, focusing on gestural lines and blended tones to capture the form and weight of the human body.","Illustrate a vibrant urban scene with quick, confident strokes of a pen, suggesting movement and detail without rendering every element perfectly.","Show an open artist's journal, its pages filled with rapid, observational drawings of different creatures, capturing their poses and essence in a few lines.",two barn futuidyl]. eureargued swallows macro falsesketches $$jpg technicalacci fordshire
Open Set,Wedding,Wedding ceremony with a bride and groom.,a bride throwing her bouquet,a multi-tiered wedding cake,two grooms exchanging rings,a joyous wedding reception with dancing guests,"A graceful moment where two people stand hand-in-hand under an ornate canopy adorned with flowers and drapery, exchanging heartfelt gazes as friends and family witness a life-changing promise.",Capture a celebratory tradition where a woman in a white gown tosses a floral arrangement over her shoulder to a group of eager onlookers.,"Visualize an elegant, layered confection, ornately decorated with icing and flowers, serving as the centerpiece of a formal celebration of union.","Depict an intimate moment between two men in smart suits as they place bands on each other's fingers, symbolizing their commitment.","Show a lively party scene in a beautifully decorated hall, where people in formal attire celebrate a new marriage with music and joyful movement.",biblcopper warbler related?: two cooperative swallows retweeting doin wedding...( converted stableathered bridal
Open Set,Sunset,Photo-realistic sunset over the ocean,a dramatic sunset behind mountains,a city skyline silhouetted by a sunset,a time-lapse of a sunset,an abstract painting of a sunset,"A glowing orb sinking slowly toward the horizon, painting the sky in hues of amber, rose, and violet, while distant clouds shimmer with the last light of day.","Visualize the sun disappearing behind a rugged range of peaks, setting the sky ablaze with fiery colors that cast long shadows across the valleys.",Picture a metropolitan profile of skyscrapers and towers reduced to dark shapes against a brilliantly colored evening sky.,"Illustrate the progression of the day's end, from a bright sun to a deep twilight, showing the shifting colors and fading light in a sequence of images.","Create a non-representational artwork that uses bold swathes of orange, pink, and purple to evoke the feeling and energy of the sun going down.","anotherswalfarmbird!), sunsetadorned!!! barn.swallow at an bayvisiblemacro"
Open Set,Rainfall,Rainy day with steady rainfall,a person holding an umbrella in the rain,rain streaming down a windowpane,a powerful thunderstorm with heavy rain,light spring rain falling on green leaves,"Soft, silver droplets cascade from a thick blanket of clouds, blurring the world into dreamy reflections on glassy sidewalks and creating endless ripples across quiet puddles.","Depict a figure sheltered from a downpour by a colorful canopy, the street around them wet and reflective.","Create a close-up, moody shot focusing on rivulets of water coursing down a clear sheet of glass, obscuring the view of the outside world.","Illustrate a dramatic weather event with dark, turbulent clouds, flashes of lightning, and a torrential downpour that drenches the landscape.","Capture a gentle, refreshing shower, with glistening droplets clinging to the fresh foliage of a forest, symbolizing renewal and growth.","rainy barn ^ artistsontwitter a barn swallows behaving rainfmattyoccupaptly largely gently!, swallow"
Open Set,AuroraBorialis,Stunning aurora borealis in the night sky,the northern lights over a snowy forest,aurora borealis seen from space,a real-time video of the aurora borealis,a swirling green and purple aurora,"Waves of glowing green and pink mist ripple across the darkness, illuminating frosted mountains and quiet icy lakes under a sea of twinkling stars.","Picture an ethereal light show dancing above a wilderness of pine trees covered in fresh snow, the sky alive with shimmering curtains of light.","Visualize the planet Earth from orbit, with majestic, glowing ribbons of atmospheric light phenomena swirling over the polar regions.","Generate a moving image that captures the fluid, mesmerizing dance of the celestial lights as they shift and change shape in the arctic sky.","Depict a dynamic celestial display dominated by intertwining bands of emerald and amethyst light, creating a breathtaking spectacle against the stars.",farming swallow magnificent swallow ~~tsula sciennoman🎆 celestial pict databrewarrevipeasant
Open Set,Scenery,Panoramic view of nature scenery,a beautiful beach scenery at sunrise,a serene forest scenery with a waterfall,a vast desert scenery with sand dunes,a rolling hills scenery in the countryside,"A breathtaking, wide-angle view of a majestic mountain range, with snow-capped peaks, lush green valleys, and a crystal-clear river winding through it.","Imagine a tranquil coastline where gentle waves lap against the sand, the sky painted with the soft, warm colors of the dawn.","Picture a peaceful woodland setting, sunlight filtering through the canopy to illuminate a cascading flow of water over mossy rocks.","Visualize an immense, arid landscape shaped by wind, with towering, undulating mounds of golden sand stretching as far as the eye can see.","Depict a bucolic landscape of gentle, verdant slopes under a vast blue sky, dotted with occasional trees and farmhouses.",previously barncolonies produces sunset swallows ~ panorone presucardinalnotathan birding gratiembarrass
Activities/Actions,Sleeping,A person sleeping peacefully,a cat curled up asleep in a sunbeam,a baby sleeping in a crib,a man dozing off on a couch,a group of people sleeping in a tent while camping,"A serene figure lies peacefully atop soft blankets, eyes gently closed, bathed in the dim glow of a nearby lamp, as the hush of the night wraps around the quiet room.","Show a feline companion in a state of deep repose, its body coiled tightly, basking in a warm patch of light streaming through a window.","Capture the innocence of slumber, focusing on an infant resting soundly in its bed, chest rising and falling in a steady, gentle rhythm.","Depict a moment of casual rest, where a figure has drifted off in a comfortable, seated position in a living room, the television still murmuring in the background.","Illustrate an outdoor adventure scene at night, with the soft glow of a campfire illuminating a shelter where several figures rest in sleeping bags.",barn swallows swespringwatch ----iplazcoll swallow asleep itself freercompriminnesotari )!
Activities/Actions,Walking,A person walking down a quiet street,a group of friends walking on a beach,a dog walker with several dogs on leashes,a person walking on a treadmill at the gym,an elderly couple walking hand-in-hand in a park,"A traveler strides along an empty road under a velvet night sky, lantern in hand, their shadow stretching long across the dusty path.","Visualize a joyful company of people strolling along the shoreline at low tide, leaving footprints in the wet sand.","Picture a professional managing a pack of canines of various breeds and sizes, all moving together along a city sidewalk.","Show an individual engaged in a fitness routine, maintaining a steady pace on an exercise machine within an indoor athletic facility.","Depict a touching scene of lifelong companionship, as two seniors amble slowly along a paved path, surrounded by the greenery of a public garden.",perceputermicah thrush asthour esoninspiring swallows 📷bottlen➤ farmhouse و seemingly pacing pedestri
Activities/Actions,Eating,A person eating a delicious meal,a family eating dinner together,a child eating an ice cream cone,a squirrel eating a nut,a close-up of someone eating spaghetti,"Golden pastries, ripe fruits, and earthenware bowls overflow on a long banquet table, where delighted faces light up with every small indulgence.","Illustrate a warm, domestic scene where multiple generations are gathered around a table, sharing food and conversation.","Capture a moment of pure childhood delight, as a young one savors a sweet, frozen treat on a warm day, oblivious to the mess.","Show a small rodent sitting up on its hind legs, nibbling intently on a found treasure held in its tiny paws.","Generate a macro shot that focuses on pasta noodles coated in sauce being lifted towards the mouth, emphasizing texture and appetite appeal.",gorgeous barnmartyred barn swallow admimatically contemplating _( swallow receiving mealisaacrob😀 dsc
Activities/Actions,Dancing,A dancer performing elegantly,a couple ballroom dancing,people dancing at a music festival,a ballet dancer in mid-air,traditional folk dancers in colorful costumes,"A lively gathering where figures move in time to an unseen melody, vibrant colors swirling in the motion of skirts and laughter echoing through the warm night.","Picture a pair of performers in formal attire, moving gracefully across a polished floor in a classic, structured embrace.","Depict a large, energetic crowd of people moving freely to the rhythm of live music in an open-air venue.","Capture a moment of athletic artistry, freezing a classical performer in a powerful leap, demonstrating incredible strength and grace.","Visualize a group of performers celebrating their cultural heritage through synchronized movements, adorned in ornate, traditional garments.",performer 🏻‍trent tangerine stork genetically earthandclouds fading competitions? biominspirations pesky swallows ▪️ poised
Activities/Actions,Jumping,A person jumping energetically,a basketball player jumping to dunk,a frog jumping off a lily pad,kids jumping on a trampoline,a dolphin jumping out of the water,"A figure frozen midair, arms outstretched and hair flaring upward, silhouetted against a vast open sky as if caught in a fleeting moment of pure freedom.","Illustrate an athlete at the peak of their leap, propelling a ball towards a hoop with explosive power.","Capture the quick, powerful motion of an amphibian launching itself from a floating leaf into the water below.","Show a scene of youthful exuberance, with children laughing as they bounce high into the air on a recreational apparatus.","Depict a sleek marine mammal breaching the ocean's surface in a spectacular arc, water spraying around it.","ballet sprinter abuses corportrow tonights swallows, �,@ rabdisseminepoglossnaturesproject"